joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
-0.21875, 0.0, 1.0, -1.0, 
-0.265625, 0.0, 2.0, -1.0, 
-0.265625, 0.0, 3.0, -1.0, 
-0.2890625, 0.0, 4.0, -1.0, 
-0.2890625, 0.0, 5.0, -1.0, 
-0.2890625, 0.0, 6.0, -1.0, 
-0.3046875, 0.0, 7.0, -1.0, 
-0.3046875, 0.0, 8.0, -1.0, 
-0.3046875, 0.0, 9.0, -1.0, 
-0.3046875, 0.0, 10.0, -1.0, 
-0.3046875, 0.0, 11.0, -1.0, 
-0.3046875, 0.0, 12.0, -1.0, 
-0.3046875, 0.0, 13.0, -1.0, 
-0.3046875, 0.0, 14.0, -1.0, 
-0.3046875, 0.0, 15.0, -1.0, 
-0.3046875, 0.0, 16.0, -1.0, 
-0.3046875, 0.0, 17.0, -1.0, 
-0.3046875, 0.0, 18.0, -1.0, 
-0.3046875, 0.0, 19.0, -1.0, 
-0.3046875, 0.0, 20.0, -1.0, 
-0.3046875, 0.0, 21.0, -1.0, 
-0.3046875, 0.0, 22.0, -1.0, 
-0.328125, 0.0, 23.0, -1.0, 
-0.328125, 0.0, 24.0, -1.0, 
-0.328125, 0.0, 25.0, -1.0, 
-0.328125, 0.0, 26.0, -1.0, 
-0.328125, 0.0, 27.0, -1.0, 
-0.3828125, 0.0, 28.0, -1.0, 
-0.3828125, 0.0, 29.0, -1.0, 
-0.3828125, 0.0, 30.0, -1.0, 
-0.3828125, 0.0, 31.0, -1.0, 
-0.3828125, 0.0, 32.0, -1.0, 
-0.3828125, 0.0, 33.0, -1.0, 
-0.390625, 0.0, 34.0, -1.0, 
-0.390625, 0.0, 35.0, -1.0, 
-0.390625, 0.0, 36.0, -1.0, 
-0.390625, 0.0, 37.0, -1.0, 
-0.390625, 0.0, 38.0, -1.0, 
-0.40625, 0.0, 39.0, -1.0, 
-0.40625, 0.0, 40.0, -1.0, 
-0.40625, 0.0, 41.0, -1.0, 
-0.40625, 0.0, 42.0, -1.0, 
-0.40625, 0.0, 43.0, -1.0, 
-0.40625, 0.0, 44.0, -1.0, 
-0.40625, 0.0, 45.0, -1.0, 
-0.40625, 0.0, 46.0, -1.0, 
-0.40625, 0.0, 47.0, -1.0, 
-0.40625, 0.0, 48.0, -1.0, 
-0.40625, 0.0, 49.0, -1.0, 
-0.40625, 0.0, 50.0, -1.0, 
-0.40625, 0.0, 51.0, -1.0, 
-0.40625, 0.0, 52.0, -1.0, 
-0.421875, 0.0, 53.0, -1.0, 
-0.4296875, 0.0, 54.0, -1.0, 
-0.4296875, 0.0, 55.0, -1.0, 
-0.4296875, 0.0, 56.0, -1.0, 
-0.4296875, 0.0, 57.0, -1.0, 
-0.4296875, 0.0, 58.0, -1.0, 
-0.4453125, -0.03125, 59.0, -1.0, 
-0.4453125, -0.0546875, 60.0, -1.0, 
-0.453125, -0.0546875, 61.0, -1.0, 
-0.46875, -0.0546875, 62.0, -1.0, 
-0.46875, -0.0546875, 63.0, -1.0, 
-0.46875, -0.0546875, 64.0, -1.0, 
-0.46875, -0.0546875, 65.0, -1.0, 
-0.46875, -0.03125, 66.0, -1.0, 
-0.46875, -0.0546875, 67.0, -1.0, 
-0.46875, -0.0546875, 68.0, -1.0, 
-0.46875, -0.0546875, 69.0, -1.0, 
-0.46875, -0.0546875, 70.0, -1.0, 
-0.46875, -0.0546875, 71.0, -1.0, 
-0.46875, -0.0546875, 72.0, -1.0, 
-0.46875, -0.03125, 73.0, -1.0, 
-0.484375, -0.03125, 74.0, -1.0, 
-0.5, -0.03125, 75.0, -1.0, 
-0.484375, -0.03125, 76.0, -1.0, 
-0.5078125, -0.03125, 77.0, -1.0, 
-0.5234375, -0.03125, 78.0, -1.0, 
-0.5234375, -0.0078125, 79.0, -1.0, 
-0.5234375, -0.03125, 80.0, -1.0, 
-0.5234375, -0.03125, 81.0, -1.0, 
-0.546875, -0.03125, 82.0, -1.0, 
-0.5625, -0.03125, 83.0, -1.0, 
-0.5625, -0.03125, 84.0, -1.0, 
